statnaam,aantal,Datum,inwoneraantal,
Waterland,0,28/02/2020,17420,
Tilburg,1,28/02/2020,220144,
Uden,0,28/02/2020,42132,
Valkenswaard,0,28/02/2020,31206,
Veldhoven,0,28/02/2020,45528,
Vught,0,28/02/2020,26577,
Waalre,0,28/02/2020,17452,
Waalwijk,0,28/02/2020,48626,
Woensdrecht,0,28/02/2020,21920,
Zundert,0,28/02/2020,21836,
Wormerland,0,28/02/2020,16266,
Landgraaf,0,28/02/2020,37411,
Beek,0,28/02/2020,15859,
Beesel,0,28/02/2020,13468,
Bergen (L.),0,28/02/2020,13082,
Brunssum,0,28/02/2020,27788,
Gennep,0,28/02/2020,16911,
Heerlen,0,28/02/2020,87024,
Kerkrade,0,28/02/2020,45684,
Maastricht,0,28/02/2020,121511,
Meerssen,0,28/02/2020,18837,
Mook en Middelaar,0,28/02/2020,7841,
Nederweert,0,28/02/2020,17049,
Roermond,0,28/02/2020,58316,
Simpelveld,0,28/02/2020,10539,
Stein,0,28/02/2020,24979,
Vaals,0,28/02/2020,10096,
Venlo,0,28/02/2020,101830,
Venray,0,28/02/2020,43624,
Voerendaal,0,28/02/2020,12479,
Weert,0,28/02/2020,50185,
Valkenburg aan de Geul,0,28/02/2020,16334,
Lelystad,0,28/02/2020,78920,
Horst aan de Maas,0,28/02/2020,42461,
Oude IJsselstreek,0,28/02/2020,39392,
Teylingen,0,28/02/2020,37468,
Utrechtse Heuvelrug,0,28/02/2020,49752,
Oost Gelre,0,28/02/2020,29640,
Koggenland,0,28/02/2020,22763,
Lansingerland,0,28/02/2020,62530,
Leudal,0,28/02/2020,35865,
Maasgouw,0,28/02/2020,23943,
Gemert-Bakel,0,28/02/2020,30733,
Halderberge,0,28/02/2020,30272,
Heeze-Leende,0,28/02/2020,16137,
Laarbeek,0,28/02/2020,22559,
Reusel-De Mierden,0,28/02/2020,13096,
Roerdalen,0,28/02/2020,20567,
Roosendaal,0,28/02/2020,77297,
Schouwen-Duiveland,0,28/02/2020,33866,
Aa en Hunze,0,28/02/2020,25422,
Borger-Odoorn,0,28/02/2020,25549,
Cuijk,0,28/02/2020,25150,
Landerd,0,28/02/2020,15735,
De Wolden,0,28/02/2020,43113,
Noord-Beveland,0,28/02/2020,7387,
Wijdemeren,0,28/02/2020,24354,
Noordenveld,0,28/02/2020,31243,
Twenterand,0,28/02/2020,33749,
Westerveld,0,28/02/2020,14974,
Sint Anthonis,0,28/02/2020,11688,
Lingewaard,0,28/02/2020,46645,
Cranendonck,0,28/02/2020,21175,
Steenwijkerland,0,28/02/2020,44157,
Moerdijk,0,28/02/2020,37098,
Echt-Susteren,0,28/02/2020,31594,
Sluis,0,28/02/2020,23214,
Drimmelen,0,28/02/2020,27232,
Bernheze,0,28/02/2020,31291,
Alphen-Chaam,0,28/02/2020,10222,
Bergeijk,0,28/02/2020,18678,
Bladel,0,28/02/2020,20408,
Gulpen-Wittem,0,28/02/2020,14164,
Tynaarlo,0,28/02/2020,33795,
Midden-Drenthe,0,28/02/2020,33216,
Overbetuwe,0,28/02/2020,47965,
Hof van Twente,0,28/02/2020,34996,
Neder-Betuwe,0,28/02/2020,24430,
Rijssen-Holten,0,28/02/2020,38186,
Geldrop-Mierlo,0,28/02/2020,39772,
Olst-Wijhe,0,28/02/2020,18253,
Dinkelland,0,28/02/2020,26479,
Westland,0,28/02/2020,19321,
Midden-Delfland,0,28/02/2020,19302,
Berkelland,0,28/02/2020,43760,
Bronckhorst,0,28/02/2020,36031,
Sittard-Geleen,0,28/02/2020,92330,
Kaag en Braassem,0,28/02/2020,27317,
Dantumadiel,0,28/02/2020,18912,
Zuidplas,0,28/02/2020,44043,
Peel en Maas,0,28/02/2020,43627,
Oldambt,0,28/02/2020,38214,
Zwartewaterland,0,28/02/2020,22716,
Súdwest-Fryslân,0,28/02/2020,89881,
Bodegraven-Reeuwijk,0,28/02/2020,34899,
Eijsden-Margraten,0,28/02/2020,25760,
Stichtse Vecht,0,28/02/2020,65029,
Hollands Kroon,0,28/02/2020,48460,
Leidschendam-Voorburg,0,28/02/2020,76524,
Goeree-Overflakkee,0,28/02/2020,50147,
Pijnacker-Nootdorp,0,28/02/2020,55412,
Nissewaard,0,28/02/2020,85207,
